user_id,handle,name,followers_count,following_count,tweet_count,is_root,is_candidate,discovered_via
855305941,Andercot,Andrew Côté,114719,1513,13343,False,False,followed_by_root
48410093,TomCruise,Tom Cruise,6436212,46534,10789,False,False,followed_by_root
1020094257317597184,DavidRozado,David Rozado,33928,616,723,False,True,followed_by_root
1917716982465716227,StarbaseTX,StarbaseTX,40741,3,28,False,True,followed_by_root
1219282049070063617,veggie_eric,Eric Jiang,34353,670,569,False,True,followed_by_root
790671643,suyanus,Su Yan,2915,401,90,False,True,followed_by_root
175860045,payamabe,Payam,3071,3155,156,False,True,followed_by_root
18584875,hodgetwins,Hodgetwins,3471484,3597,61996,False,False,followed_by_root
1879946117544128512,DrOzCMS,DrOzCMS,45571,69,374,False,True,followed_by_root
1380265270137257987,DeputySecState,Christopher Landau,293303,307,711,False,False,followed_by_root
1123808797556920325,JessePeltan,Jesse Peltan,62597,581,13109,False,False,followed_by_root
197262753,mwdalton,Michael Dalton,2333,16,27,False,True,followed_by_root
22107793,cambridgemike,Mike,10805,2489,10936,False,True,followed_by_root
21211490,DannyLimanseta,Danny Limanseta,22528,1259,3537,False,True,followed_by_root
500704345,Pontifex266Arch,Pope Francis – ARCHIVE,16975325,71,5922,False,False,followed_by_root
1922567634907791360,Pontifex,Pope Leo XIV,17773447,47,405,False,False,followed_by_root
1698912816483500032,tesla_singapore,Tesla Singapore,8736,6,129,False,True,followed_by_root
1136383051917910017,ChineseEmbinUS,Chinese Embassy in US,332238,620,6544,False,False,followed_by_root
1917276398865244160,NIHDirector_Jay,Jay Bhattacharya  MD  PhD,72301,29,302,False,False,followed_by_root
816061098231296000,ChrisLandauUSA,Christopher Landau,228628,546,5200,False,False,followed_by_root
1882496976115404800,EDSecMcMahon,Secretary Linda McMahon,124219,35,798,False,False,followed_by_root
1892196399967571968,MyViewFNC,My View with Lara Trump,12016,2,127,False,True,followed_by_root
1622799748569735168,chenchen,Alex Chen,5246,192,78,False,True,followed_by_root
16635277,Acyn,Acyn,695094,5515,177018,False,False,followed_by_root
1909390269533011968,gork,gork,312220,0,1869522,False,False,followed_by_root
1308211178,Teslarati,TESLARATI,922117,197,37135,False,False,followed_by_root
8031462,ALScyborg,Bradford G Smith (Brad),31920,643,3275,False,True,followed_by_root
1916571303450181632,durov2025,Pavel Durov,9821,2,0,False,True,followed_by_root
117821354,SECNAV,Secretary of the Navy John C. Phelan,95395,210,3844,False,False,followed_by_root
14553823,yishan,Yishan,102138,447,23518,False,False,followed_by_root
339061487,APompliano,Anthony Pompliano 🌪,1808511,8148,82641,False,False,followed_by_root
834832429709828096,belce_dogru,Belce Doğru Pattabi,11174,379,314,False,True,followed_by_root
15227791,WilliamShatner,William Shatner,2366889,551,115822,False,False,followed_by_root
1799294856822673408,Kling_ai,Kling AI,107840,491,3091,False,False,followed_by_root
17050482,AdamLowisz,Adam Lowisz X Meetup 🇺🇸🇵🇱🇪🇺🇬🇧🇺🇦,40702,5769,139569,False,True,followed_by_root
61040833,Diablo,Diablo,948958,57,36851,False,False,followed_by_root
1658862104378572802,BenShapiroShow,The Ben Shapiro Show,106365,29,2560,False,False,followed_by_root
1354219017721032709,USTradeRep,United States Trade Representative,77316,38,538,False,False,followed_by_root
556260847,Max33Verstappen,Max Verstappen,4098006,301,2548,False,False,followed_by_root
341468490,joel_kaplan,Joel Kaplan,4630,145,80,False,True,followed_by_root
843586794155196416,satofishi,Chun,86899,309,2200,False,False,followed_by_root
45617221,AsraNomani,Asra Nomani,166521,12002,46285,False,False,followed_by_root
32959253,khloekardashian,Khloé,27718108,228,68332,False,False,followed_by_root
971662602680987648,framonauts,fram2,19561,13,192,False,True,followed_by_root
