source,target,weight,interaction_type,depth
44196397,17929760,5.0,follow,1
44196397,1455993364529262601,5.0,follow,1
44196397,251545048,5.0,follow,1
44196397,1486342364444737537,5.0,follow,1
44196397,988975103785365504,5.0,follow,1
44196397,1049312830271442944,5.0,follow,1
44196397,1269289502914289666,5.0,follow,1
44196397,147176609,5.0,follow,1
44196397,1373486120,5.0,follow,1
44196397,2952500029,5.0,follow,1
44196397,1223106839920795649,5.0,follow,1
44196397,1315709346689568770,5.0,follow,1
44196397,1329891389430243330,5.0,follow,1
44196397,1018235967818248192,5.0,follow,1
44196397,2478748357,5.0,follow,1
44196397,907173236097646592,5.0,follow,1
44196397,142118056,5.0,follow,1
44196397,158049457,5.0,follow,1
44196397,2241109232,5.0,follow,1
44196397,1924901890816671749,5.0,follow,1
44196397,1927401880700825601,5.0,follow,1
44196397,147039284,5.0,follow,1
44196397,855305941,5.0,follow,1
44196397,48410093,5.0,follow,1
44196397,1020094257317597184,5.0,follow,1
44196397,1917716982465716227,5.0,follow,1
44196397,1219282049070063617,5.0,follow,1
44196397,790671643,5.0,follow,1
44196397,175860045,5.0,follow,1
44196397,18584875,5.0,follow,1
44196397,1879946117544128512,5.0,follow,1
44196397,1380265270137257987,5.0,follow,1
44196397,1123808797556920325,5.0,follow,1
44196397,197262753,5.0,follow,1
44196397,22107793,5.0,follow,1
44196397,21211490,5.0,follow,1
44196397,500704345,5.0,follow,1
44196397,1922567634907791360,5.0,follow,1
44196397,1698912816483500032,5.0,follow,1
44196397,1136383051917910017,5.0,follow,1
44196397,1917276398865244160,5.0,follow,1
44196397,816061098231296000,5.0,follow,1
44196397,1882496976115404800,5.0,follow,1
44196397,1892196399967571968,5.0,follow,1
44196397,1622799748569735168,5.0,follow,1
44196397,16635277,5.0,follow,1
44196397,1909390269533011968,5.0,follow,1
44196397,1308211178,5.0,follow,1
44196397,8031462,5.0,follow,1
44196397,1916571303450181632,5.0,follow,1
44196397,117821354,5.0,follow,1
44196397,14553823,5.0,follow,1
44196397,339061487,5.0,follow,1
44196397,834832429709828096,5.0,follow,1
44196397,15227791,5.0,follow,1
44196397,1799294856822673408,5.0,follow,1
44196397,17050482,5.0,follow,1
44196397,61040833,5.0,follow,1
44196397,1658862104378572802,5.0,follow,1
44196397,1354219017721032709,5.0,follow,1
44196397,556260847,5.0,follow,1
44196397,341468490,5.0,follow,1
44196397,843586794155196416,5.0,follow,1
44196397,45617221,5.0,follow,1
44196397,32959253,5.0,follow,1
44196397,971662602680987648,5.0,follow,1
44196397,15862891,5.0,follow,1
44196397,1813545855028277248,5.0,follow,1
44196397,1408003598,5.0,follow,1
44196397,1291389427630120961,5.0,follow,1
44196397,1738294722567794688,5.0,follow,1
44196397,50769180,5.0,follow,1
44196397,42871498,5.0,follow,1
44196397,285198536,5.0,follow,1
44196397,1901635213693784065,5.0,follow,1
44196397,10615232,5.0,follow,1
44196397,1082197856,5.0,follow,1
44196397,1860407815925334016,5.0,follow,1
44196397,281800967,5.0,follow,1
